Genes,Type,Class,Mechanism,Group
MEG_4283|Drugs|betalactams|Mutant_porin_proteins|OMP37,Drugs,betalactams,Mutant porin proteins,OMP37
MEG_1376|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_6697|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_3111|Drugs|betalactams|Class_A_betalactamases|GES,Drugs,betalactams,Class A betalactamases,GES
MEG_5801|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|PMRF,Drugs,Cationic antimicrobial peptides,Lipid A modification,PMRF
MEG_4045|Drugs|MLS|Macrolide_phosphotransferases|MPHG,Drugs,MLS,Macrolide phosphotransferases,MPHG
MEG_1584|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,Drugs,Phenicol,Chloramphenicol acetyltransferases,CATA
MEG_7098|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETL
MEG_6751|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_1348|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_78|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_2928|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,Drugs,Phenicol,Phenicol resistance MFS efflux pumps,FLOR
MEG_1421|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_2856|Drugs|MLS|23S_rRNA_methyltransferases|ERMX,Drugs,MLS,23S rRNA methyltransferases,ERMX
MEG_1443|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_347|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_1321|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_300|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_694|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEK,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,ADEK
MEG_6805|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_1475|Drugs|betalactams|Class_A_betalactamases|BRO,Drugs,betalactams,Class A betalactamases,BRO
MEG_1081|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME
MEG_1784|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMX,Drugs,Phenicol,Phenicol resistance MFS efflux pumps,CMX
MEG_2795|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,Drugs,MLS,23S rRNA methyltransferases,ERMB
MEG_2881|Drugs|betalactams|Class_A_betalactamases|FAR1,Drugs,betalactams,Class A betalactamases,FAR1
MEG_1486|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CADD,Metals,Multi-metal resistance,Multi-metal resistance protein,CADD
MEG_6057|Drugs|MLS|23S_rRNA_methyltransferases|RLMA,Drugs,MLS,23S rRNA methyltransferases,RLMA
MEG_2501|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,Drugs,Trimethoprim,Dihydrofolate reductase,DFRA
MEG_3601|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA,Drugs,MLS,Lincosamide nucleotidyltransferases,LNUA
MEG_7588|Drugs|Glycopeptides|VanG-type_resistance_protein|VANXYG,Drugs,Glycopeptides,VanG-type resistance protein,VANXYG
MEG_972|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1150|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,Metals,Multi-metal resistance,Multi-metal resistance protein,ARSBM
MEG_3921|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXQ,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MEXQ
MEG_3121|Drugs|betalactams|Class_A_betalactamases|GES,Drugs,betalactams,Class A betalactamases,GES
MEG_1522|Drugs|betalactams|Class_A_betalactamases|CARB,Drugs,betalactams,Class A betalactamases,CARB
MEG_3128|Drugs|betalactams|Class_A_betalactamases|GES,Drugs,betalactams,Class A betalactamases,GES
MEG_6619|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
MEG_7122|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
MEG_345|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_6540|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA,Biocides,Peroxide resistance,peroxide resistance protein,SODA
MEG_950|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_6153|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|RUVB,Multi-compound,Biocide and metal resistance,Biocide and metal resistance protein,RUVB
MEG_7051|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETB
MEG_880|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_4044|Drugs|MLS|Macrolide_phosphotransferases|MPHE,Drugs,MLS,Macrolide phosphotransferases,MPHE
MEG_235|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_1857|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_6038|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRVC,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRVC
MEG_2657|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPR,Multi-compound,Biocide and metal resistance,Biocide and metal resistance protein,DPR
MEG_1447|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_4169|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKB,Metals,Nickel resistance,Nickel ABC efflux pumps,NIKB
MEG_6075|Drugs|betalactams|Class_A_betalactamases|ROB,Drugs,betalactams,Class A betalactamases,ROB
MEG_491|Drugs|betalactams|Class_C_betalactamases|ACT,Drugs,betalactams,Class C betalactamases,ACT
MEG_962|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_2848|Drugs|MLS|23S_rRNA_methyltransferases|ERMT,Drugs,MLS,23S rRNA methyltransferases,ERMT
MEG_7288|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|TTGB,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,TTGB
MEG_5983|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MEG_7120|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
MEG_1426|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_1419|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_4423|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_7138|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
MEG_801|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_2884|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FARA,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,FARA
MEG_7030|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETA
MEG_3791|Drugs|betalactams|Penicillin_binding_protein|MECA,Drugs,betalactams,Penicillin binding protein,MECA
MEG_6938|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_3106|Drugs|betalactams|Class_A_betalactamases|GES,Drugs,betalactams,Class A betalactamases,GES
MEG_6994|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET40
MEG_2828|Drugs|MLS|23S_rRNA_methyltransferases|ERMF,Drugs,MLS,23S rRNA methyltransferases,ERMF
MEG_1737|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEA,Multi-compound,Drug and biocide and metal resistance,Drug and biocide and metal RND efflux pumps,CMEA
MEG_947|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_2779|Drugs|MLS|23S_rRNA_methyltransferases|ERM42,Drugs,MLS,23S rRNA methyltransferases,ERM42
MEG_1042|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
MEG_1011|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH2-DPRIME
MEG_3997|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MNTA,Metals,Multi-metal resistance,Multi-metal resistance protein,MNTA
MEG_1217|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|BCRCM,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,BCRCM
MEG_1114|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,Drugs,Multi-drug resistance,MDR regulator,ARLR
MEG_6777|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_2028|Metals|Copper_resistance|Copper_resistance_protein|COPA,Metals,Copper resistance,Copper resistance protein,COPA
MEG_7839|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_SMR_efflux_pump|YKKC,Multi-compound,Drug and biocide and metal resistance,Drug and biocide and metal SMR efflux pump,YKKC
MEG_2791|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,Drugs,MLS,23S rRNA methyltransferases,ERMB
MEG_1121|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ARMR,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,ARMR
MEG_2653|Metals|Copper_resistance|Copper_resistance_protein|DNAK,Metals,Copper resistance,Copper resistance protein,DNAK
MEG_3736|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDFA,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,MDFA
MEG_7133|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
MEG_4999|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_1031|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
MEG_2999|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA
MEG_351|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_6695|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_3934|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXT,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux regulator,MEXT
MEG_1000|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6
MEG_3839|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,Metals,Mercury resistance,Mercury resistance protein,MERA
MEG_7262|Drugs|Nucleosides|Tunicamycin_resistance_protein|TMRB,Drugs,Nucleosides,Tunicamycin resistance protein,TMRB
MEG_2484|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,Drugs,Trimethoprim,Dihydrofolate reductase,DFRA
MEG_3622|Biocides|Acetate_resistance|Acetate_resistance_protein|LPDT,Biocides,Acetate resistance,Acetate resistance protein,LPDT
MEG_7132|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
MEG_64|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_2994|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSA
MEG_237|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_7846|Metals|Zinc_resistance|Zinc_resistance_protein|ZEVB,Metals,Zinc resistance,Zinc resistance protein,ZEVB
MEG_809|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1423|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_3796|Drugs|betalactams|Penicillin_binding_protein|MECB,Drugs,betalactams,Penicillin binding protein,MECB
MEG_1469|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|BMR,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux regulator,BMR
MEG_874|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_4409|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_877|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1069|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME
MEG_6876|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_1365|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_7096|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETL
MEG_2811|Drugs|MLS|23S_rRNA_methyltransferases|ERMC,Drugs,MLS,23S rRNA methyltransferases,ERMC
MEG_1178|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARST,Metals,Arsenic resistance,Arsenic resistance protein,ARST
MEG_6611|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
MEG_67|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_3009|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSB
MEG_3532|Drugs|betalactams|Class_B_betalactamases|L1,Drugs,betalactams,Class B betalactamases,L1
MEG_2724|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRB,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,EMRB
MEG_1990|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_4126|Metals|Nickel_resistance|Nickel_MFS_efflux_pumps|NCRCN,Metals,Nickel resistance,Nickel MFS efflux pumps,NCRCN
MEG_1816|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_7094|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETL
MEG_916|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_6572|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SSME,Biocides,Multi-biocide resistance,Multi-biocide SMR efflux pump,SSME
MEG_939|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_4029|Drugs|MLS|Macrolide_phosphotransferases|MPHA,Drugs,MLS,Macrolide phosphotransferases,MPHA
MEG_864|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_918|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_973|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_4079|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MTRC,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MTRC
MEG_2508|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,Drugs,Trimethoprim,Dihydrofolate reductase,DFRA
MEG_5987|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MEG_3845|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,Metals,Mercury resistance,Mercury resistance protein,MERA
MEG_1540|Drugs|betalactams|Class_A_betalactamases|CARB,Drugs,betalactams,Class A betalactamases,CARB
MEG_3861|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,Metals,Mercury resistance,Mercury resistance regulator,MERD
MEG_2718|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|EMHC,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,EMHC
MEG_6578|Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE,Biocides,Multi-biocide resistance,Multi-biocide SMR efflux pump,SUGE
MEG_173|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_6918|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_3657|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MACA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,MACA
MEG_3737|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDFA,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,MDFA
MEG_6156|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|SALA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,SALA
MEG_1979|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_953|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_799|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1554|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT,Drugs,Phenicol,Chloramphenicol acetyltransferases,CAT
MEG_4300|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|OPRM,Biocides,Multi-biocide resistance,Multi-biocide RND efflux pump,OPRM
MEG_1761|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLA,Drugs,Phenicol,Phenicol resistance MFS efflux pumps,CMLA
MEG_4981|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_3005|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSB
MEG_3609|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUB,Drugs,MLS,Lincosamide nucleotidyltransferases,LNUB
MEG_3837|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,Metals,Mercury resistance,Mercury resistance protein,MERA
MEG_6810|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_806|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_6659|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_5063|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_1913|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_1166|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSDM,Metals,Multi-metal resistance,Multi-metal resistance protein,ARSDM
MEG_2687|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,Metals,Multi-metal resistance,Multi-metal resistance protein,DSBA
MEG_5933|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MEG_5834|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACF,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,QACF
MEG_2759|Drugs|MLS|23S_rRNA_methyltransferases|ERM,Drugs,MLS,23S rRNA methyltransferases,ERM
MEG_1218|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|BCRCM,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,BCRCM
MEG_1453|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_755|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME
MEG_7075|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETE,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETE
MEG_7414|Drugs|Glycopeptides|VanB-type_resistance_protein|VANHB,Drugs,Glycopeptides,VanB-type resistance protein,VANHB
MEG_3710|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,Drugs,Lipopeptides,Colistin phosphoethanolamine transferase,MCR
MEG_331|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_1366|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_3842|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,Metals,Mercury resistance,Mercury resistance protein,MERA
MEG_154|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_2485|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,Drugs,Trimethoprim,Dihydrofolate reductase,DFRA
MEG_7396|Drugs|Glycopeptides|VanG-type_resistance_protein|VANG,Drugs,Glycopeptides,VanG-type resistance protein,VANG
MEG_3881|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR,Metals,Mercury resistance,Mercury resistance regulator,MERR
MEG_7066|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETC,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETC
MEG_2062|Metals|Copper_resistance|Copper_resistance_protein|COPL,Metals,Copper resistance,Copper resistance protein,COPL
MEG_2841|Drugs|MLS|23S_rRNA_methyltransferases|ERMQ,Drugs,MLS,23S rRNA methyltransferases,ERMQ
MEG_7053|Drugs|Tetracyclines|Tetracycline_resistance_ABC_efflux_pumps|TETB46,Drugs,Tetracyclines,Tetracycline resistance ABC efflux pumps,TETB46
MEG_6601|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
MEG_1077|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME
MEG_3836|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_regulator|MEPR,Multi-compound,Drug and biocide resistance,Drug and biocide MATE efflux regulator,MEPR
MEG_3891|Metals|Mercury_resistance|Mercury_resistance_protein|MERT,Metals,Mercury resistance,Mercury resistance protein,MERT
