Genes,Type,Plasmid_structural_accessory_genes,Gene_description,Locus,IS_TE_Name,IS_Family,IS_Group,IS_Locus_origin,Bit_score,E_Value
gene:proph:176738,Prophage,NA,hypothetical protein,APECO1_2048,NA,NA,NA,NA,NA,NA
gene:plasmid:25058,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,type II toxin-antitoxin system Phd/YefM family antitoxin,SO_RS22540,NA,NA,NA,NA,NA,NA
gene:vir:6697,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:135984,Plasmid,Plasmid biosynthesis_regulatory_enzymes,6-phospho-beta-galactosidase,LACR_D39,NA,NA,NA,NA,NA,NA
gene:vir:106592,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:3435,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:84447,TE,NA,dihydropteroate synthase,D616_p81015,TnAs3,NA,NA,Aeromonas salmonicida,1665,0
gene:plasmid:152270,Plasmid ARG,Plasmid ARG,sulfate permease family protein,SEA0024,NA,NA,NA,NA,NA,NA
gene:vir:105905,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:183235,Prophage,NA,hypothetical protein,L200055,NA,NA,NA,NA,NA,NA
gene:vir:80657,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:92646,IS,NA,hypothetical protein,Swit_5096,ISSsp2,IS3,IS150,Sphingomonas sp.,529,1.00E-150
gene:proph:181163,Prophage,NA,hypothetical protein,UTI89_C5108,NA,NA,NA,NA,NA,NA
gene:plasmid:135613,IS,NA,aminoglycoside 6-adenylyltranserase,pRE25p44,ISCco2,IS1595,ISPna2,Campylobacter coli,979,0
gene:plasmid:15504,IS,NA,IS6-like element IS1216 family transposase,EF_RS16220,IS1216E,IS6,None,Enterococcus faecium,1350,0
gene:proph:163559,Prophage,NA,hypothetical protein,SH2392,NA,NA,NA,NA,NA,NA
ICEberg|437|ICEKpnHS11286-2|GenBank|CP003200|4502837..4558879,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:79562,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:154097,IS,NA,transposase (fragment),SMR0114,IS6100,IS6,None,Mycobacterium fortuitum,523,4.00E-149
gene:plasmid:28771,Plasmid,Hypothetical plasmid protein,hypothetical protein,VRA0059,NA,NA,NA,NA,NA,NA
gene:plasmid:17298,Plasmid,Hypothetical plasmid protein,hypothetical protein,pNZ4000_15,NA,NA,NA,NA,NA,NA
gene:plasmid:112569,Plasmid ARG,Plasmid ARG,multidrug resistance efflux protein Smr,pSW174_03,NA,NA,NA,NA,NA,NA
gene:plasmid:14655,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,GcrR,pNG2_p16,NA,NA,NA,NA,NA,NA
gene:plasmid:145694,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,RelB antitoxin,Pcryo_2510,NA,NA,NA,NA,NA,NA
gene:plasmid:21083,Plasmid,Plasmid biosynthesis_regulatory_enzymes,S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase,RS_RS17530,NA,NA,NA,NA,NA,NA
gene:plasmid:18192,Plasmid,Unclassified plasmid gene,putative integral membrane protein,pSD10p42,NA,NA,NA,NA,NA,NA
gene:proph:182997,Prophage,NA,bacteriophage lysis protein,EcHS_A0305,NA,NA,NA,NA,NA,NA
gene:proph:173754,Prophage,NA,bacteriophage major tail sheath protein,STY2888,NA,NA,NA,NA,NA,NA
gene:plasmid:14942,Plasmid,Unclassified plasmid gene,YtpB,pTP10_p14,NA,NA,NA,NA,NA,NA
gene:plasmid:82833,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLEW279a_p29,NA,NA,NA,NA,NA,NA
gene:plasmid:87719,Plasmid,Plasmid secretion or conjugation machinery,Sel1 domain-containing protein,PsycPRwf_2399,NA,NA,NA,NA,NA,NA
gene:plasmid:153737,Plasmid,Plasmid transposition_recombination_integration,resolvase,pTB11p41,NA,NA,NA,NA,NA,NA
gene:proph:183544,Prophage,NA,sheath protein,SFV_0245,NA,NA,NA,NA,NA,NA
gene:plasmid:139611,IS,NA,hypothetical protein,O2R_105,IS15DII,IS6,None,Salmonella panama,93.7,2.00E-19
gene:plasmid:117757,TE,NA,hypothetical protein,SC057,TnAs3,NA,NA,Aeromonas salmonicida,1207,0
gene:proph:183617,Prophage,NA,hypothetical protein,SFV_0266,NA,NA,NA,NA,NA,NA
gene:plasmid:110251,Plasmid,Plasmid biosynthesis_regulatory_enzymes,PemK family protein,pCPF5603_11,NA,NA,NA,NA,NA,NA
gene:plasmid:124071,IS,NA,IS1469-like transposase,pCPF4969_30,IS1469,IS200/IS605,IS200,Clostridium perfringens,888,0
gene:proph:181069,Prophage,NA,bacteriophage V tail protein,UTI89_C2967,NA,NA,NA,NA,NA,NA
gene:plasmid:88461,Plasmid,Hypothetical plasmid protein,hypothetical protein,KPN_pKPN3p05912,NA,NA,NA,NA,NA,NA
gene:plasmid:125030,Plasmid,Hypothetical plasmid protein,hypothetical protein,pnf280,NA,NA,NA,NA,NA,NA
gene:plasmid:28796,Plasmid,Plasmid ARG,Far1,pUB101_p23,NA,NA,NA,NA,NA,NA
gene:plasmid:122406,Plasmid,Hypothetical plasmid protein,hypothetical protein,pSTE2p05,NA,NA,NA,NA,NA,NA
gene:plasmid:158604,Plasmid,Plasmid non_conjugative efflux_transport,RND efflux membrane fusion protein precursor,pRSB101_43,NA,NA,NA,NA,NA,NA
gene:plasmid:28912,Plasmid,Plasmid transposition_recombination_integration,recombinase family protein,SE_RS11945,NA,NA,NA,NA,NA,NA
gene:plasmid:130624,Plasmid ARG,Plasmid ARG,putative cobalt-zinc-cadmium resistance protein,pKB1_p039,NA,NA,NA,NA,NA,NA
gene:plasmid:121914,IS,NA,IS630 orf,SSON_P228,IS630,IS630,None,Shigella sonnei,2038,0
gene:vir:1892,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:7302,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:19951,Plasmid,PREPIM,repC,Manual,NA,NA,NA,NA,NA,NA
gene:plasmid:14569,Plasmid,Unclassified plasmid gene,collagen-binding protein,CPE_RS00250,NA,NA,NA,NA,NA,NA
gene:vir:95767,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:101374,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:153888,Plasmid,Plasmid non_conjugative efflux_transport,glutamine transport ATP-binding protein (fragment),SMR0102,NA,NA,NA,NA,NA,NA
gene:vir:6559,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:93231,Plasmid,Plasmid secretion or conjugation machinery,Type IV secretory pathway AvhB2 protein,BBta_p0257,NA,NA,NA,NA,NA,NA
gene:plasmid:109339,Plasmid,Unclassified plasmid gene,None,RSP_7273,NA,NA,NA,NA,NA,NA
gene:plasmid:112766,Plasmid,PREPIM,replication initiator protein A,SSP_RS12495,NA,NA,NA,NA,NA,NA
gene:plasmid:150022,Plasmid,Plasmid biosynthesis_regulatory_enzymes,thioredoxin family protein,LP_RS15615,NA,NA,NA,NA,NA,NA
gene:vir:2187,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
repUS22__rep(SAP015B)_GQ900502.1,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:108399,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:133389,Plasmid,Hypothetical plasmid protein,hypothetical protein,pBF9343.04,NA,NA,NA,NA,NA,NA
gene:plasmid:15305,IS,NA,hypothetical protein,pUO1_43,ISPa38,Tn3,None,Pseudomonas aeruginosa,737,0
gene:proph:181075,Prophage,NA,bacteriophage V tail sheath protein,UTI89_C2973,NA,NA,NA,NA,NA,NA
gene:plasmid:141250,Plasmid,Unclassified plasmid gene,None,HCM1.220,NA,NA,NA,NA,NA,NA
gene:plasmid:156159,IS,NA,hypothetical protein,LV224,IS1S,IS1,None,Shigella sonnei,515,1.00E-146
gene:plasmid:157736,IS,NA,hypothetical protein,L7023,IS1414,IS256,None,Escherichia coli,174,3.00E-44
gene:vir:108788,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:6517,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:118524,Plasmid,Plasmid transposition_recombination_integration,resolvase-like protein,Meso_4379,NA,NA,NA,NA,NA,NA
gene:plasmid:117717,Plasmid,Hypothetical plasmid protein,hypothetical protein,SC085,NA,NA,NA,NA,NA,NA
gene:plasmid:148155,TE,NA,None,pC15-1a_006,TnAs1,NA,NA,Aeromonas salmonicida,3003,0
gene:plasmid:97773,Plasmid,Unclassified plasmid gene,ORF (rlx),pS194_p2,NA,NA,NA,NA,NA,NA
ICEberg|426|Tn5801(B6)|GenBank|FN568063|1320241..1344513,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:169147,Prophage,NA,capsid scaffolding protein,SBO_1407,NA,NA,NA,NA,NA,NA
gene:plasmid:117427,Plasmid,PREPIM,RepFIB replication protein A,pO86A1_p041,NA,NA,NA,NA,NA,NA
gene:vir:93958,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:141251,IS,NA,None,HCM1.217,IS26,IS6,None,Proteus vulgaris,1626,0
gene:plasmid:126352,Plasmid,Plasmid non_conjugative efflux_transport,NukG,PPI1_p29,NA,NA,NA,NA,NA,NA
gene:plasmid:85137,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLEW6932_p48,NA,NA,NA,NA,NA,NA
gene:vir:6728,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:181035,Prophage,NA,tail sheath protein of prophage CP-933T,UTI89_C0914,NA,NA,NA,NA,NA,NA
gene:plasmid:92078,Plasmid,Hypothetical plasmid protein,hypothetical protein,KPN_pKPN4p07113,NA,NA,NA,NA,NA,NA
gene:vir:101403,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:124046,Plasmid,Hypothetical plasmid protein,hypothetical protein,pCPF4969_11,NA,NA,NA,NA,NA,NA
gene:plasmid:117783,Plasmid,Hypothetical plasmid protein,hypothetical protein,SC166,NA,NA,NA,NA,NA,NA
gene:plasmid:115500,Plasmid,Plasmid biosynthesis_regulatory_enzymes,dCTP deaminase,Mpe_B0168,NA,NA,NA,NA,NA,NA
gene:vir:101364,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:155146,IS,NA,None,Pden_4536,ISPye33,IS66,None,Paracoccus yeei,293,7.00E-80
gene:plasmid:141716,Plasmid,PREPIM,replication protein,pLNU1_01,NA,NA,NA,NA,NA,NA
gene:plasmid:19766,Plasmid,Unclassified plasmid gene,Orf1,pCD4_p5,NA,NA,NA,NA,NA,NA
gene:proph:184757,Prophage,NA,GNAT family N-acetyltransferase,LREU_RS04555,NA,NA,NA,NA,NA,NA
gene:plasmid:154429,IS,NA,putative integral membrabe protein,pFBAOT6.87,ISPa38,Tn3,None,Pseudomonas aeruginosa,993,0
gene:plasmid:17093,Plasmid ARG,Plasmid ARG,streptogramin A resistance protein,pLME300_p10,NA,NA,NA,NA,NA,NA
gene:plasmid:14638,Plasmid,PREPIM,RepA,pNGA2_p2,NA,NA,NA,NA,NA,NA
gene:plasmid:17901,Plasmid,Plasmid transposition_recombination_integration,IS5 family transposase,MAFF_RS00400,NA,NA,NA,NA,NA,NA
gene:vir:101330,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:177444,IS,NA,IS30 transposase encoded within prophage CP-933T,Z2993,IS30D,IS30,None,Escherichia coli,2165,0
gene:plasmid:151817,Plasmid,Hypothetical plasmid protein,hypothetical protein,pSHaeA03,NA,NA,NA,NA,NA,NA
gene:plasmid:15138,IS,NA,transposase,DR_B0059,IS2621,IS4,ISPepr1,Deinococcus radiodurans,2480,0
gene:proph:181689,Prophage,NA,phage protein,M28_Spy1863,NA,NA,NA,NA,NA,NA
gene:plasmid:88468,Plasmid ARG,Plasmid ARG,ArsD,KPN_pKPN3p05919,NA,NA,NA,NA,NA,NA
gene:proph:183529,Prophage,NA,hypothetical protein,STER_0817,NA,NA,NA,NA,NA,NA
gene:vir:106555,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:83076,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,addiction module antitoxin,Swit_5117,NA,NA,NA,NA,NA,NA
gene:plasmid:92502,IS,NA,integrase catalytic subunit,Swit_5077,ISSsp2,IS3,IS150,Sphingomonas sp.,1001,0
gene:plasmid:135966,Plasmid,Plasmid non_conjugative efflux_transport,"ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component",LACR_D21,NA,NA,NA,NA,NA,NA
gene:plasmid:25808,Plasmid,Plasmid biosynthesis_regulatory_enzymes,5-dehydro-4-deoxy-D-glucuronate isomerase,SM_RS25320,NA,NA,NA,NA,NA,NA
gene:proph:179393,Prophage,NA,hypothetical protein,c0938,NA,NA,NA,NA,NA,NA
gene:plasmid:132163,IS,NA,transposase,LACR_C59,IS981,IS3,IS3,Lactococcus lactis,714,0
gene:vir:7062,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:182649,Prophage,NA,tRNA-specific adenosine deaminase,SF2606,NA,NA,NA,NA,NA,NA
gene:proph:163840,Prophage,NA,protein KiL,EcE24377A_0807,NA,NA,NA,NA,NA,NA
gene:plasmid:84515,Plasmid,Hypothetical plasmid protein,hypothetical protein,D616_p81083,NA,NA,NA,NA,NA,NA
gene:plasmid:87030,Plasmid ARG,Plasmid ARG,streptomycin adenylase,pK214_p22,NA,NA,NA,NA,NA,NA
gene:plasmid:14962,Plasmid,Plasmid ARG,AphA1-IAB,pTP10_p39,NA,NA,NA,NA,NA,NA
gene:proph:183644,Prophage,NA,fimbrial-like protein,SFV_2193,NA,NA,NA,NA,NA,NA
gene:plasmid:17280,Plasmid,Hypothetical plasmid protein,hypothetical protein,pSRQ800_06,NA,NA,NA,NA,NA,NA
gene:vir:96838,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:169141,Prophage,NA,hypothetical protein,SBO_1401,NA,NA,NA,NA,NA,NA
gene:plasmid:120820,Plasmid,Hypothetical plasmid protein,hypothetical protein,pSpnP1_p7,NA,NA,NA,NA,NA,NA
gene:proph:175030,Prophage,NA,hypothetical protein,t2650,NA,NA,NA,NA,NA,NA
gene:plasmid:145684,Plasmid,Plasmid transposition_recombination_integration,transposase,Pcryo_2500,NA,NA,NA,NA,NA,NA
gene:proph:170193,IS,NA,hypothetical protein,ELI_00745,ISEli1,IS3,IS407,Erythrobacter litoralis,529,7.00E-151
gene:plasmid:14705,Plasmid,Hypothetical plasmid protein,hypothetical protein,CE3P035,NA,NA,NA,NA,NA,NA
gene:proph:163566,Prophage,NA,hypothetical protein,SH2360,NA,NA,NA,NA,NA,NA
gene:plasmid:133212,Plasmid,Hypothetical plasmid protein,hypothetical protein,Tn916_10,NA,NA,NA,NA,NA,NA
gene:proph:159034,Prophage,NA,putative phage lysis protein,b0554,NA,NA,NA,NA,NA,NA
gene:plasmid:15533,Plasmid,PTTREG,pheromone response system RNA-binding regulator PrgU,EF_RS16360,NA,NA,NA,NA,NA,NA
gene:plasmid:137643,Plasmid,Unclassified plasmid gene,None,Noca_4907,NA,NA,NA,NA,NA,NA
gene:plasmid:24250,IS,NA,IS1 transposase,HCM1.204c,IS1R,IS1,None,Escherichia coli,999,0
gene:proph:179399,Prophage,NA,capsid completion protein,c0954,NA,NA,NA,NA,NA,NA
gene:plasmid:28610,Plasmid,Hypothetical plasmid protein,hypothetical protein,pETB_p18,NA,NA,NA,NA,NA,NA
gene:plasmid:110373,IS,NA,transposase,YPA_MT0063,IS100kyp,IS21,None,Yersinia pseudotuberculosis,2028,0
gene:vir:105324,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:10421,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:154405,Plasmid,Hypothetical plasmid protein,hypothetical protein,pFBAOT6.57,NA,NA,NA,NA,NA,NA
gene:vir:2744,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:167126,Prophage,NA,hypothetical protein,SERP1651,NA,NA,NA,NA,NA,NA
gene:plasmid:158850,UNCLASSIFIED,NA,None,ERROR,NA,NA,NA,NA,NA,NA
gene:plasmid:143323,Plasmid ARG,Plasmid ARG,kanamycin marker,pBHRK19_p2,NA,NA,NA,NA,NA,NA
gene:plasmid:125561,IS,NA,resolvase domain-containing protein,Ajs_4249,ISPsy42,Tn3,None,Pseudomonas syringae,509,1.00E-144
gene:plasmid:17125,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLP9000_04,NA,NA,NA,NA,NA,NA
gene:plasmid:15797,Plasmid ARG,Plasmid ARG,CopB,pB171_046,NA,NA,NA,NA,NA,NA
gene:plasmid:145670,Plasmid,Hypothetical plasmid protein,hypothetical protein,Pcryo_2486,NA,NA,NA,NA,NA,NA
gene:plasmid:109493,Plasmid,Hypothetical plasmid protein,hypothetical protein,pTP6_37,NA,NA,NA,NA,NA,NA
gene:plasmid:91769,Plasmid,Plasmid transposition_recombination_integration,putative transposase,KPN_pKPN5p08245,NA,NA,NA,NA,NA,NA
gene:vir:105410,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:151305,IS,NA,transposase/IS protein,pCoo018,IS100kyp,IS21,None,Yersinia pseudotuberculosis,1507,0
ICEberg|67|Tn6000(EfcTn1)|GenBank|FN555436|1..33262,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:129626,IS,NA,lipoprotein signal peptidase,ND022,ISPpu12,ISL3,None,Pseudomonas putida,1009,0
gene:plasmid:157660,Plasmid,PREPIM,replication protein A,pCCK381_p2,NA,NA,NA,NA,NA,NA
gene:proph:181071,Prophage,NA,bacteriophage V tail/DNA circulation protein,UTI89_C2969,NA,NA,NA,NA,NA,NA
gene:proph:172409,Prophage,NA,exonuclease,ECs_0809,NA,NA,NA,NA,NA,NA
gene:plasmid:24460,Plasmid,PTTREG,RNA I inhibition modulator protein Rom,pC_p1,NA,NA,NA,NA,NA,NA
gene:plasmid:83833,TE,NA,modulator protein TnpM for transposon Tn21,YpIP275_pIP1202_0192,TnAs3,NA,NA,Aeromonas salmonicida,1207,0
gene:vir:80661,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:119605,Plasmid,Plasmid transposition_recombination_integration,transposition regulatory protein,pBS228_p072,NA,NA,NA,NA,NA,NA
gene:proph:173050,IS,NA,None,Noca_1091,ISPfr13,IS3,IS51,Propionibacterium freudenreichii,79.8,8.00E-15
gene:proph:174583,Prophage,NA,hypothetical protein,PEPE_1014,NA,NA,NA,NA,NA,NA
gene:vir:108792,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:163919,IS,NA,"IS3, transposase orfA",EcE24377A_1772,IS3,IS3,IS3,Escherichia coli,595,2.00E-170
gene:proph:167199,Prophage,NA,hypothetical protein,SERP1577,NA,NA,NA,NA,NA,NA
gene:plasmid:122404,Plasmid,Plasmid transposition_recombination_integration,plasmid recombinase,pSTE2p04,NA,NA,NA,NA,NA,NA
gene:plasmid:17456,Plasmid,Hypothetical plasmid protein,hypothetical protein,pli0047,NA,NA,NA,NA,NA,NA
gene:plasmid:88314,Plasmid,Hypothetical plasmid protein,hypothetical protein,KPN_pKPN3p05944,NA,NA,NA,NA,NA,NA
gene:proph:173126,Prophage,NA,phage antirepressor KilAC domain-containing protein,PPA_RS08055,NA,NA,NA,NA,NA,NA
gene:proph:163604,Prophage,NA,holin,SH2334,NA,NA,NA,NA,NA,NA
gene:proph:176433,Prophage,NA,hypothetical protein,NWMN_0271,NA,NA,NA,NA,NA,NA
gene:vir:7094,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:139648,Plasmid,Hypothetical plasmid protein,hypothetical protein,O2R_68,NA,NA,NA,NA,NA,NA
gene:proph:173936,Prophage,NA,bacteriophage protein,STY2041,NA,NA,NA,NA,NA,NA
gene:vir:4542,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:16023,TE,NA,hypothetical protein,p165897_094,TnAs3,NA,NA,Aeromonas salmonicida,2018,0
gene:plasmid:15667,IS,NA,transposase,pRUM_p22,IS1216E,IS6,None,Enterococcus faecium,1362,0
gene:proph:167228,IS,NA,IS256-like transposase,SERP1584,IS256,IS256,None,Staphylococcus aureus,2325,0
gene:vir:7246,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
rep1_3_repR(pGB354)_U83488,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
ICEberg|172|Tn1207.3|GenBank|AY657002|1..52491,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:90582,IS,NA,resolvase domain-containing protein,Bcep1808_7192,ISPa38,Tn3,None,Pseudomonas aeruginosa,985,0
gene:proph:184855,Prophage,NA,Clp protease ClpP,LREU_RS05850,NA,NA,NA,NA,NA,NA
gene:vir:4543,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:82831,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLEW279a_p27,NA,NA,NA,NA,NA,NA
gene:vir:105414,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:118283,IS,NA,None,VRA0028,IS256,IS256,None,Staphylococcus aureus,565,1.00E-161
gene:proph:181096,Prophage,NA,bacteriophage V small terminase subunit,UTI89_C2986,NA,NA,NA,NA,NA,NA
gene:plasmid:126382,Plasmid,Unclassified plasmid gene,Orf64,pSK639_p02,NA,NA,NA,NA,NA,NA
ICEberg|109|R997|GenBank|AJ579927|1..1106,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:154720,Plasmid,Plasmid biosynthesis_regulatory_enzymes,xylose isomerase domain-containing protein,Pden_4767,NA,NA,NA,NA,NA,NA
gene:plasmid:138828,IS,NA,"ISSpo9, transposase",SPOA0122,ISSpo9,IS5,IS903,Silicibacter pomeroyi,1850,0
gene:plasmid:14650,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,ParA,pNG2_p11,NA,NA,NA,NA,NA,NA
gene:plasmid:118284,IS,NA,None,VRA0031,IS256,IS256,None,Staphylococcus aureus,565,1.00E-161
gene:plasmid:82846,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLEW279a_p42,NA,NA,NA,NA,NA,NA
gene:plasmid:21818,Plasmid,PTTREG,elongation factor G,RS_RS20960,NA,NA,NA,NA,NA,NA
gene:vir:108809,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:6487,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:157937,Plasmid,Plasmid biosynthesis_regulatory_enzymes,PaaI family thioesterase,RER_RS01135,NA,NA,NA,NA,NA,NA
gene:plasmid:140955,Plasmid,PREPIM,truncated replication protein,pCCK13698_08,NA,NA,NA,NA,NA,NA
gene:vir:105334,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:87718,Plasmid,Hypothetical plasmid protein,hypothetical protein,CHAB381_A0004,NA,NA,NA,NA,NA,NA
gene:plasmid:81277,Plasmid ARG,Plasmid ARG,beta-lactamase,ST189834_p5012,NA,NA,NA,NA,NA,NA
gene:vir:96140,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:123310,Plasmid,Hypothetical plasmid protein,hypothetical protein,O2ColV60,NA,NA,NA,NA,NA,NA
gene:vir:108775,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:156145,Plasmid,Hypothetical plasmid protein,hypothetical protein,LV147,NA,NA,NA,NA,NA,NA
gene:plasmid:10526,Plasmid,Unclassified plasmid gene,unknown,pRAY_0035,NA,NA,NA,NA,NA,NA
gene:proph:179698,Prophage,NA,phage-related DNA polymerase,M6_Spy1155,NA,NA,NA,NA,NA,NA
gene:plasmid:97771,Plasmid,Unclassified plasmid gene,CAT,pC223_p2,NA,NA,NA,NA,NA,NA
gene:vir:103419,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:132445,Plasmid,Unclassified plasmid gene,None,pTC68_01,NA,NA,NA,NA,NA,NA
gene:vir:95798,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:4556,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:108396,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:181642,Prophage,NA,DNA integration/recombination/invertion protein,M28_Spy1285,NA,NA,NA,NA,NA,NA
gene:vir:101326,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:15815,IS,NA,InsB,pB171_064,ISEc30,IS1,None,Escherichia coli,785,0
gene:vir:2023,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:163188,Prophage,NA,phage repressor protein,SSP_RS09740,NA,NA,NA,NA,NA,NA
gene:proph:182982,Prophage,NA,phage integrase site specific recombinase,EcHS_A0909,NA,NA,NA,NA,NA,NA
gene:plasmid:154395,TE,NA,putatiev acetyltransferase,pFBAOT6.41,TnAs3,NA,NA,Aeromonas salmonicida,993,0
ICEberg|307|Tn916(RST11)|GenBank|FN550102|1..18032,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518..1847810,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:17003,Plasmid ARG,Plasmid ARG,aminoglycoside 6'-N-acetyltransferase type Ib,pJHCMW1_p5,NA,NA,NA,NA,NA,NA
gene:plasmid:129172,TE,NA,putative acetyltransferase,pKJK5_33,TnAs3,NA,NA,Aeromonas salmonicida,993,0
gene:plasmid:15291,TE,NA,TniB,pUO1_29,TnAs3,NA,NA,Aeromonas salmonicida,1164,0
gene:plasmid:129990,Plasmid,Hypothetical plasmid protein,hypothetical protein,p256_10,NA,NA,NA,NA,NA,NA
gene:vir:103656,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:19631,TE,NA,hypothetical protein,D742_p2038,TnAs3,NA,NA,Aeromonas salmonicida,993,0
gene:plasmid:133206,Plasmid,Hypothetical plasmid protein,hypothetical protein,Tn916_06,NA,NA,NA,NA,NA,NA
gene:plasmid:139669,Plasmid ARG,Plasmid ARG,chloramphenicol acetyltransferase,O2R_114,NA,NA,NA,NA,NA,NA
gene:proph:162850,Prophage,NA,hypothetical protein,SpyM51304,NA,NA,NA,NA,NA,NA
gene:plasmid:31099,IS,NA,transposase/IS protein,Y1094,IS100kyp,IS21,None,Yersinia pseudotuberculosis,1546,0
gene:proph:167188,Prophage,NA,hypothetical protein,SERP1536,NA,NA,NA,NA,NA,NA
gene:proph:163863,Prophage,NA,hypothetical protein,EcE24377A_0812,NA,NA,NA,NA,NA,NA
gene:plasmid:14890,Plasmid,Hypothetical plasmid protein,hypothetical protein,pA505_p04,NA,NA,NA,NA,NA,NA
gene:plasmid:20741,Plasmid,Hypothetical plasmid protein,hypothetical protein,pADP-1_p002,NA,NA,NA,NA,NA,NA
gene:proph:176805,Prophage,NA,hypothetical protein,APECO1_1035,NA,NA,NA,NA,NA,NA
gene:plasmid:152684,TE,NA,diguanylate phosphodiesterase,Rmet_6177,TnAs2,NA,NA,Aeromonas salmonicida,1039,0
ICEberg|49|ICECmeCH34-1|GenBank|CP000352|2508632..2618212,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
